index,wl,ampl,lflux,element,band,is_irspectrum,dflux,signal,tsat,lablum
1183,467.77174267977205,12465.304122778269,16087.641308205037,HgCd,0,False,1237.5108698619258,12375.108698619259,52.524791161836276,2886929.449976078
1322,480.0295521183177,24708.312960814117,33290.12562352747,HgCd,0,False,2560.7788941174977,25607.78894117498,25.382902112054648,5763422.580240158
1645,508.5940479261072,47790.63515615113,47481.87412003002,HgCd,0,False,3652.4518553869248,36524.518553869246,17.796264693847466,7875080.264962178
1929,533.7729285501033,19.099767184621104,18.037497209776138,HgCd,0,False,1.3874997853673952,13.874997853673952,46846.85409359447,2928.349027521049
3077,635.4818455685918,20.269594392371825,,HgCd,0,False,,,,
3083,636.0108021868414,19.800276440939268,390.3892706194165,HgCd,0,False,30.029943893801267,300.29943893801266,2164.5062085319846,107820.28635189123
3172,643.8513628532344,4020.821819731665,3426.710463587271,HgCd,0,False,263.59311258363624,2635.9311258363623,246.59217899472225,2012561.3563470878
462,404.6894049634259,1784.6566617133576,11619.137937695126,HgCd,0,False,893.7798413611636,8937.798413611636,72.72484452212481,3781054.060824772
797,433.8803485609736,447.9979224121061,,HgCd,0,False,,,,
807,434.7551816725276,10122.29861540577,9894.329542426043,HgCd,0,False,761.102272494311,7611.02272494311,85.40245161399889,2170937.353580014
819,435.8052259788164,13645.63091808431,25461.846061494067,HgCd,0,False,1958.6035431918513,19586.035431918513,33.186910248345775,5535010.903752452
2068,546.1077817948108,79925.82218761102,65447.39860818946,HgCd,0,False,5034.415277553036,50344.152775530354,12.911131962000775,10611423.702207427
2311,567.6750693209702,29.302932087381567,42.840272169210365,HgCd,0,False,3.2954055514777205,32.9540555147772,19724.43117687072,6979.185433237107
2416,576.991456908837,13048.987999950516,8983.171901268284,HgCd,0,False,691.0132231744834,6910.132231744834,94.06477013767254,1471984.7053880524
2439,579.0317065079701,12501.5776983555,9173.544011946891,HgCd,0,False,705.6572316882224,7056.572316882224,92.11271008233453,1504391.3663988383
2550,588.8748552691486,14.178131256258776,10.35713369895431,HgCd,0,False,0.7967025922272547,7.967025922272547,81586.27903831287,1715.7521593404842
3172,643.8513628532344,8831.002210695322,7674.308484156101,HgCd,2,False,590.3314218581617,5903.314218581617,110.107640544361,2052181.6777572702
4214,734.5662075989343,202.2360504466657,,HgCd,2,False,,,,
3908,708.1732555356375,18.385411674308017,4819.30030868712,HgCd,2,False,370.7154083605477,3707.1540836054774,175.33665592011965,655175.5577907979
4215,734.6520555207385,228.56751264869098,,HgCd,2,False,,,,
4214,734.5662075989343,166.2445257972458,197.39566986495308,HgCd,3,False,15.184282297304083,151.84282297304082,4280.742331268468,31832.36106855372
3908,708.1732555356375,14.133334334646698,2089.8219178122417,HgCd,3,False,160.75553213940321,1607.555321394032,404.34067266583156,369582.7590297005
4215,734.6520555207385,187.9665815892425,,HgCd,3,False,,,,
