lambda_air[angstrom], lambda_vac[nm], transition

5202.966, 520.4414858560385, 9-2_Q1f(1.5)
5202.984, 520.4432863355004, 9-2_Q1e(1.5)
5206.725, 520.8174859855063, 9-2_Q2f(1.5)
5206.824, 520.8273886226459, 9-2_Q2e(1.5)
5224.116, 522.5570492825656, 9-2_P1e(2.5)
5224.158, 522.5612504015435, 9-2_P1f(2.5)
5238.704, 524.0162379685291, 9-2_P1e(3.5)
5238.789, 524.0247402334502, 9-2_P1f(3.5)
5256.012, 525.747499198155, 9-2_P1e(4.5)
5256.153, 525.7616029558882, 9-2_P1f(4.5)
5256.741, 525.8204186264894, 6-0_R2e(1.5)
5256.753, 525.8216189462985, 6-0_R1f(1.5)
5256.753, 525.8216189462985, 6-0_R2f(1.5)
5256.770, 525.8233193993616, 6-0_R1e(1.5)
5542.228, 554.3767368889778, 7-1_R1f(2.5)
5542.245, 554.3784373431762, 7-1_R1e(2.5)
5544.571, 554.6110994887844, 7-1_R1f(1.5)
5544.587, 554.6126999162732, 7-1_R1e(1.5)
5544.869, 554.6409074507729, 7-1_R2e(1.5)
5544.885, 554.6425078782628, 7-1_R2f(1.5)
5562.933, 556.447790121512, 7-1_Q2f(0.5)
5563.011, 556.4555922058248, 7-1_Q2e(0.5)
5563.981, 556.5526181262331, 7-1_Q1f(1.5)
5564.006, 556.5551187942875, 7-1_Q1e(1.5)
5569.493, 557.1039654220535, 7-1_Q1f(2.5)
5569.583, 557.1129678271544, 7-1_Q1e(2.5)
5581.190, 558.2739780192596, 7-1_P2e(1.5)
5581.236, 558.2785792486461, 7-1_P2f(1.5)
5589.103, 559.0654895069462, 7-1_P1e(2.5)
5589.152, 559.0703908165909, 7-1_P1f(2.5)
5597.771, 559.9325211881675, 7-1_P2e(2.5)
5597.799, 559.9353219365862, 7-1_P2f(2.5)
5605.094, 560.665016931893, 7-1_P1e(3.5)
5605.192, 560.674819551507, 7-1_P1f(3.5)
5617.158, 561.8717394265719, 7-1_P2f(3.5)
5617.163, 561.872239560238, 7-1_P2e(3.5)
5623.751, 562.5312156831471, 7-1_P1e(4.5)
5623.910, 562.5471199339459, 7-1_P1f(4.5)
5639.268, 564.0833305478909, 7-1_P2f(4.5)
5639.316, 564.0881318313014, 7-1_P2e(4.5)
