lambda_air[angstrom], lambda_vac[nm]

7821.50300, 782.36552
7841.26600, 784.34235
7849.14700, 785.13066
7849.72500, 785.18848
7850.52600, 785.26860
7852.30800, 785.44685
7853.23200, 785.53927
7853.48800, 785.56488
7853.60400, 785.57648
7857.99400, 786.01560
7860.65800, 786.28207
7867.73000, 786.98946
7870.73000, 787.28954
7878.78300, 788.09506
7881.68200, 788.38504
7889.66400, 789.18346
7890.03800, 789.22087
7912.25200, 791.44287
7913.70800, 791.58850
7918.20700, 792.03853
7918.49100, 792.06693
7921.04400, 792.32230
7921.12000, 792.32991
7930.86800, 793.30497
7931.37900, 793.35608
7931.54200, 793.37239
7931.99400, 793.41760
7945.38500, 794.75706
7946.19800, 794.83838
7949.20400, 795.13906
7964.65000, 796.68408
7968.02400, 797.02157
7968.02900, 797.02207
7968.98600, 797.11780
7977.65000, 797.98443
7979.76800, 798.19629
7993.33200, 799.55306
8014.05900, 801.62632
8014.05900, 801.62632
8020.02400, 802.22298
8020.36100, 802.25669
8025.66800, 802.78753
8025.95200, 802.81594
8028.16900, 803.03770
8029.00100, 803.12092
8052.02000, 805.42344
8061.97900, 806.41961
8062.37700, 806.45942
8077.14700, 807.93682
8077.61300, 807.98343
8084.58200, 808.68052
8085.60000, 808.78235
8093.57900, 809.58046
8093.78000, 809.60057
8102.23900, 810.44670
8103.76100, 810.59894
8138.96200, 814.11999
8139.26400, 814.15020
8146.50800, 814.87479
8148.16200, 815.04024
8188.21600, 819.04672
8188.63000, 819.08813
8194.84900, 819.71020
8195.64500, 819.78982
